country,region,year,month,avg_temperature,rainfall_mm,festival,covid_restriction,gdp_growth_rate,foreign_exchange_rate,internet_mentions,global_travel_index,airline_ticket_price,hotel_occupancy_rate,visa_required,num_tourists,revenue_usd
Bhutan,North,2017,6,20.23,164.4,0,0,2.34,67.05,874.0,9.36,196.39,46.34,0,108382,24831958
Sri Lanka,Central,2019,2,34.69,106.6,0,0,2.51,71.87,932.0,26.34,279.84,60.08,0,306736,70277866
Bhutan,Central,2021,8,21.77,100.6,0,0,1.77,84.93,673.0,21.86,361.58,87.66,0,108749,24916044
Thailand,West,2016,12,22.59,171.0,1,0,0.12,76.57,688.0,58.78,401.37,71.83,0,4178634,957388380
Nepal,North,2019,6,25.3,112.2,1,0,2.29,52.23,940.0,98.41,251.01,68.39,0,366443,83957645
Bhutan,South,2024,6,21.96,100.0,0,0,7.59,74.28,610.0,3.92,178.69,61.73,0,109985,25199230
Sri Lanka,East,2022,5,25.89,121.0,0,0,5.51,64.13,1305.0,47.42,303.77,40.02,0,318319,72931707
Thailand,West,2024,7,19.31,121.6,0,0,2.18,73.2,586.0,91.49,329.19,72.04,1,4230436,969257003
Bhutan,South,2016,7,23.24,75.3,0,0,2.95,79.94,1114.0,21.5,254.6,53.19,0,127843,29290768
Thailand,Central,2022,5,26.97,77.4,0,0,4.72,63.64,881.0,14.23,268.45,79.78,0,4088808,936807882
Sri Lanka,North,2016,3,26.4,48.9,0,0,1.46,63.85,823.0,72.84,341.18,48.05,0,365253,83684998
Bhutan,South,2016,2,25.52,133.6,0,0,5.68,68.77,722.0,38.19,328.93,41.88,1,103757,23772301
Nepal,Central,2015,8,15.74,21.9,0,0,5.82,89.09,935.0,50.72,278.45,91.26,0,223451,51196010
Sri Lanka,East,2015,7,33.3,68.3,0,0,5.57,67.42,1060.0,14.99,287.63,49.14,0,264478,60595918
India,West,2024,9,28.28,150.7,0,1,0.86,87.4,954.0,94.9,334.7,60.52,0,1133203,259633981
Bhutan,Central,2023,11,20.75,122.6,1,0,3.63,81.42,330.0,5.51,321.86,77.22,1,129407,29649104
Nepal,East,2015,6,20.07,119.6,0,0,6.15,72.42,1096.0,70.36,383.58,45.53,1,189392,43392577
Bhutan,North,2022,7,23.37,77.9,0,0,5.01,47.35,1075.0,39.75,363.0,49.68,0,90803,20804343
Thailand,South,2023,9,24.91,46.5,0,0,7.21,87.19,1251.0,34.27,320.8,50.41,0,4099413,939237648
Bhutan,Central,2015,7,23.22,107.6,0,1,3.75,81.03,1042.0,48.64,292.53,42.41,0,76908,17620788
Nepal,West,2015,4,33.09,98.9,0,0,5.43,65.86,986.0,64.75,271.33,63.17,1,235567,53971969
Nepal,Central,2022,6,29.14,104.0,0,0,5.48,79.46,1039.0,73.93,322.63,49.4,0,216734,49657044
Nepal,Central,2017,12,28.83,109.7,0,0,1.95,75.45,1027.0,36.08,289.26,84.03,0,208249,47713002
Sri Lanka,North,2023,2,30.02,62.6,0,0,2.83,89.66,705.0,3.42,287.64,83.46,0,256934,58867473
Nepal,East,2023,8,26.28,58.3,0,0,0.24,68.61,1207.0,34.09,264.21,45.23,0,180351,41321147
Sri Lanka,West,2023,12,25.34,99.8,0,1,3.13,72.14,667.0,16.82,391.71,93.38,1,172189,39451109
Nepal,North,2024,2,26.3,31.9,0,0,5.31,76.34,953.0,7.17,381.32,80.27,0,91408,20942958
Nepal,East,2019,12,39.8,109.6,0,0,4.06,76.15,1462.0,76.45,288.18,90.38,0,288917,66195263
Bhutan,West,2019,12,28.76,112.6,1,0,6.78,85.94,970.0,16.79,282.83,72.9,0,181704,41631140
Sri Lanka,Central,2023,3,18.32,76.6,0,0,1.16,85.82,1133.0,33.11,280.46,89.46,1,344745,78986304
Thailand,West,2022,1,25.03,122.7,0,0,1.8,79.29,1051.0,37.53,253.32,80.56,0,4171513,955756851
Bhutan,North,2019,5,29.12,117.7,0,0,2.32,66.87,962.0,17.12,307.13,62.38,1,88305,20232013
Nepal,North,2023,3,25.61,136.1,0,0,5.09,59.01,885.0,25.18,293.82,83.32,0,147951,33897816
Nepal,South,2020,3,20.41,139.1,1,0,2.31,83.99,1391.0,51.51,274.33,77.06,0,261216,59848544
Nepal,Central,2020,9,19.32,132.0,0,0,-0.27,66.73,532.0,30.8,393.71,44.58,0,93707,21469693
Sri Lanka,West,2018,1,14.71,123.2,0,0,2.79,82.98,1218.0,93.65,376.51,81.1,0,406674,93175176
Nepal,West,2023,5,29.13,124.9,0,0,5.71,80.46,1322.0,38.11,326.81,47.07,1,159836,36620850
Bhutan,South,2024,11,15.01,118.0,0,0,6.67,82.05,1085.0,91.96,272.66,83.43,0,288334,66061689
Bhutan,East,2021,10,23.84,141.9,0,0,4.59,74.19,1582.0,91.57,295.74,90.72,0,284069,65084513
India,North,2023,7,32.55,114.8,0,0,4.41,72.47,1043.0,5.69,351.65,65.63,1,1037160,237629075
Nepal,West,2022,2,27.81,89.8,0,1,2.14,71.59,972.0,23.92,239.22,74.14,0,101378,23227236
Bhutan,South,2015,1,21.9,86.7,1,0,4.44,94.3,1238.0,82.79,255.46,63.96,0,308607,70706540
Thailand,South,2016,1,18.41,133.8,0,0,5.37,79.88,1228.0,63.2,283.45,83.57,0,4201612,962652988
Bhutan,North,2020,12,29.5,86.7,0,0,1.76,69.32,953.0,37.51,264.76,43.92,0,145364,33305095
India,South,2018,3,21.43,138.1,0,0,3.26,75.74,1230.0,67.19,244.24,43.77,0,1196429,274120016
Bhutan,North,2022,5,29.31,107.5,0,0,3.21,70.21,822.0,39.44,360.41,81.96,0,121751,27894999
Thailand,North,2023,10,22.57,111.7,0,0,1.6,92.35,1302.0,74.41,337.91,72.24,0,4199828,962244246
Nepal,West,2018,12,40.96,104.5,0,0,2.64,83.39,1257.0,42.7,287.6,44.01,0,156980,35966497
Nepal,North,2020,11,14.52,125.5,0,0,4.86,79.68,927.0,83.47,322.9,69.62,0,253053,57978277
Sri Lanka,North,2024,2,32.88,138.5,0,0,1.71,67.23,1341.0,11.81,259.46,87.62,0,319131,73117748
India,Central,2019,9,26.6,176.6,0,1,5.11,75.45,1118.0,61.79,320.45,68.12,0,1084617,248502193
Nepal,West,2017,1,22.73,56.6,0,0,2.16,72.63,1255.0,39.66,423.95,46.56,0,90596,20756916
Thailand,East,2015,4,27.09,161.2,0,0,4.39,73.17,716.0,79.37,216.79,61.98,0,4261391,976349263
Thailand,Central,2016,9,32.37,46.8,0,0,3.28,86.71,558.0,48.41,270.96,94.31,1,4180330,957776959
India,Central,2024,11,25.25,129.5,0,0,0.75,74.32,617.0,29.56,280.52,45.74,0,1081051,247685168
Bhutan,Central,2024,1,26.46,127.9,0,1,5.61,69.65,677.0,15.85,341.25,51.58,0,-13084,-2997742
Bhutan,East,2019,10,24.28,137.1,0,0,1.29,65.85,1062.0,58.49,334.73,57.89,1,164623,37717624
Bhutan,Central,2021,6,22.36,83.2,0,0,3.21,80.63,1134.0,39.72,269.35,62.14,0,174977,40089882
