actual_tourists,predicted_tourists
49519,43077.39
46253,47424.51
33072,53742.75
50143,55501.2
77118,89843.97
38314,53936.69
21638,34745.73
16952,17908.45
58145,57587.76
88566,97269.83
94584,85508.06
92929,77563.96
40560,62823.65
88500,84976.7
55005,66386.29
61010,74169.45
19540,33626.53
119931,99378.6
66073,81196.06
68568,75002.3
45718,25775.28
63422,65434.8
83986,71621.53
79573,77290.71
38776,48968.37
99995,68980.57
22591,33561.26
38046,70941.55
87060,84704.1
34579,44371.52
118356,101562.52
21919,37335.16
33807,44596.76
26185,34425.13
42528,44910.94
96156,91309.57
33335,25095.82
71696,55622.29
35695,54384.41
88490,93491.95
79782,68183.99
28981,42834.95
100600,93753.07
16077,23623.37
51366,53579.85
26355,29900.12
37376,47008.85
87215,85408.45
77980,82684.49
55863,70499.17
59622,56972.75
96558,81643.27
36738,29420.31
45620,45887.07
103377,105822.29
90497,90490.23
97808,95982.05
83304,76169.87
40412,48178.15
21772,26812.23
80605,106098.17
63026,73774.58
67513,74044.91
17148,19074.92
86202,98160.66
81305,77098.96
62014,55335.17
48560,51750.95
85059,80986.78
59851,65385.8
44000,48614.18
11538,15213.84
29246,33175.35
27973,37346.14
50292,70901.82
50963,66317.23
13996,11960.14
8468,20437.69
20233,8236.33
28759,28404.39
44586,40839.34
115714,103020.47
99313,90959.34
93118,73661.27
28921,42395.18
5502,6188.29
7241,6535.92
82738,93162.01
76153,57981.19
32635,14617.25
87955,74516.31
10807,20570.19
41568,70592.75
43373,56576.48
55768,68470.07
89377,104739.16
26491,28114.46
47289,50007.09
34054,32392.07
97390,86396.03
55167,59480.14
9023,11201.05
41882,56644.33
83690,75648.96
87562,82007.16
25502,26476.49
60449,52754.13
45876,51657.93
99179,91309.39
37073,28478.16
24333,28613.73
65949,49154.58
19904,19472.05
24065,28394.3
80006,79997.37
104947,80819.6
28101,39142.15
103477,89637.22
47713,39670.38
76416,77445.45
94534,89867.77
70231,85090.68
88058,90485.52
83212,78516.21
96367,80321.96
91858,88326.39
49832,63892.43
88324,82518.93
91266,71799.37
86885,81989.96
75512,78115.66
88654,89099.85
87109,101235.85
71398,56342.95
113659,30128.09
68238,84498.62
109586,106935.97
69729,75035.59
87581,89105.21
83841,88969.0
62397,54866.64
59041,62316.69
83618,73069.73
75773,95785.71
83733,75702.61
47399,44800.97
48651,59285.9
46177,43141.41
83523,88603.99
42074,35524.04
74064,69605.87
17967,33014.96
86996,83527.88
78088,56500.08
64106,62225.0
89631,77058.21
49311,54835.75
39392,38184.19
95572,72165.98
24782,30607.44
12107,17561.35
61852,79976.86
26140,45396.36
79952,80848.46
114316,98376.17
48893,59822.93
63985,59424.85
41345,59056.64
70824,79518.79
37639,46751.44
57256,66455.37
31762,66494.55
102620,73403.81
95092,108635.26
15016,20242.34
42917,57057.09
21494,22101.56
24920,22029.48
33578,43792.43
78886,79750.25
55898,63067.41
50684,75512.92
26278,32273.17
35979,56158.03
5809,7388.97
95235,84107.89
54133,71265.97
89463,78031.59
84096,58254.2
31146,42722.54
63119,73761.05
68722,67586.55
105050,80938.9
7409,12793.28
41022,32311.48
72534,76052.12
84085,82017.82
25607,23469.55
84942,85637.61
57963,79479.52
16500,6718.82
86980,47908.27
51396,56064.53
61847,61324.72
40094,33922.69
96525,74762.91
37248,47004.89
5242,7461.91
87718,78771.88
109676,61406.39
37991,52492.7
31551,22317.88
26662,33426.28
56218,56250.03
22687,35452.06
89942,107531.11
45384,40939.68
72192,77490.69
11426,15580.07
27482,32703.72
8322,13903.73
91840,81732.27
55669,67988.49
76481,39548.25
36612,53295.69
17484,21556.91
11292,10213.85
28552,31711.69
11847,18930.16
115236,108623.98
29942,35332.31
20842,15210.85
52323,47901.59
91182,80204.0
71575,78426.53
50475,42032.69
57531,34094.42
44030,53292.47
71727,79515.51
91126,92084.34
53079,27192.08
68236,72010.28
23878,26996.59
89975,78159.66
7756,7941.7
38953,26138.08
38934,31324.1
55224,43325.56
57571,73857.98
54380,59092.14
89419,78090.96
99063,111128.69
83301,90086.5
43114,23419.77
92264,100855.22
6823,13908.84
78950,83922.94
12690,13964.79
56002,53046.51
53571,34659.39
71139,79511.96
18984,27033.66
92024,83171.85
86929,84064.58
83339,64901.85
29334,27606.9
52022,68775.48
53804,59291.01
38842,53417.67
24343,16202.82
52851,67662.54
30030,47016.75
83714,42973.48
37830,31444.49
94940,81892.08
63777,66358.09
97362,89769.08
80660,53109.4
58879,54908.31
64707,72212.94
64993,76785.73
25730,35059.09
86680,73694.65
89931,82256.72
11600,10998.68
91081,75346.83
26582,33140.02
58895,78461.0
28697,45421.86
52755,74142.13
60616,33031.89
34456,21898.1
99620,96980.26
80756,48351.76
5044,7465.43
19867,23878.74
34976,54277.26
85974,78099.54
60626,76413.62
5354,6269.38
76909,83826.98
75748,36410.62
70745,50543.62
15643,24800.43
27187,23935.44
35637,36610.64
13877,15069.49
72839,80544.08
18299,34239.41
25430,40937.52
25128,9892.92
31797,38244.74
27823,46573.78
15588,17996.14
22599,24944.76
118288,112396.55
45379,58666.88
86938,65699.4
55208,65974.14
13380,20568.82
32498,31277.93
25611,24500.04
86166,91136.91
13246,19548.35
21258,26384.82
108615,101813.11
52183,50778.6
56033,73394.74
91867,105719.52
53690,79769.8
115365,104760.73
61930,71089.01
69499,78085.48
43711,58949.97
88738,86152.57
94217,81890.74
9275,17363.74
57358,52863.86
6665,10948.23
8077,7080.09
29838,32458.92
52952,54670.61
71559,80093.95
7229,7776.93
57391,59060.92
99394,94631.05
15018,15291.77
81312,82127.81
98408,72687.41
91852,81412.2
55144,75991.34
10372,16599.0
10112,12452.44
55531,52739.46
37470,41294.07
139661,102495.83
13457,13757.07
11114,14256.86
23131,19359.94
8142,10796.62
99158,76635.68
72127,65563.16
49561,43401.88
16316,12857.4
40269,58685.12
90100,85844.9
21762,26634.66
93677,79362.79
45735,51097.23
48521,49383.95
48152,44715.15
17029,26481.97
51460,61114.03
82425,86181.24
64968,56984.76
80579,75503.42
85418,88043.51
15282,16815.12
75799,75880.65
92920,71581.67
66247,57509.63
22022,33315.45
14910,13133.43
44784,52363.82
116216,110448.62
37410,32559.09
62012,59930.93
39314,30667.5
20423,29125.94
92925,74760.83
32227,40384.71
63080,62862.75
8441,10012.33
25401,40711.45
79163,61325.37
73599,80417.16
32846,37015.6
20480,32283.52
84554,83867.86
96020,80892.38
78569,60724.44
37043,45094.13
95902,89973.65
52513,24891.95
6430,10610.39
69711,70743.52
74770,75266.03
59016,79163.6
47685,51173.52
80224,68877.93
84682,75213.6
112514,110120.8
67222,73928.47
22040,18999.46
99121,84473.01
8651,9195.92
33908,49727.4
78721,68498.27
61967,32414.25
8898,13139.93
51103,53687.42
50212,64984.62
28458,17658.81
56928,58563.57
54028,57841.64
33174,47236.38
24778,7264.41
15726,11988.73
33375,35393.64
76933,83129.92
52987,61092.38
13355,10890.09
51679,25394.65
13155,21437.22
84160,86488.89
32469,32941.49
106443,91600.78
28218,29321.62
82772,82522.75
11578,13986.36
43962,54588.03
52765,73201.37
19818,29197.26
14487,17420.93
58937,71624.68
105579,107095.58
7665,8579.52
93818,89810.95
67146,51796.31
16383,14564.87
26960,29311.19
21545,20211.97
27197,15483.78
75832,68980.52
77729,77553.1
57010,67077.18
52719,48314.62
74623,81516.31
7759,7292.53
39166,60415.66
12390,15265.01
107331,87124.56
12282,16198.83
85725,107710.28
16852,23325.55
88433,87213.56
68560,69831.19
27041,26595.87
56975,32976.2
38682,31829.77
6134,7134.11
8360,11887.33
21547,32260.75
38495,48783.42
56301,64825.73
96435,102640.42
89496,66614.14
117056,108476.78
89234,30365.95
71054,74187.03
21480,23956.72
30337,44106.19
97271,75508.57
88800,80916.47
79262,80044.92
6347,7192.34
16375,20577.12
113396,104989.46
85555,89994.81
95925,79954.18
91688,91643.3
15646,23389.84
48909,63975.73
9605,12370.84
34090,32929.97
116112,74387.13
93153,84020.59
97505,84958.22
83586,79635.46
58010,66834.13
23244,38193.19
43362,54188.29
20824,17209.72
74529,57306.32
108228,85000.08
