country,region,year,month,avg_temperature,rainfall_mm,festival,covid_restriction,gdp_growth_rate,foreign_exchange_rate,internet_mentions,global_travel_index,airline_ticket_price,hotel_occupancy_rate,visa_required,num_tourists,revenue_usd
Italy,Europe,2011,Aug,28.0,45.2,Yes,None,4.03,99.31,978,45.96,892.31,93.01,No,77180,67470469.01
Russia,Europe,2022,Jun,12.8,178.7,Yes,None,1.9,5.56,1005,69.08,544.51,55.74,Yes,115365,124452611.97
Turkey,Middle East,2013,Feb,18.7,77.7,Yes,None,2.9,59.69,994,72.15,764.87,91.33,No,21414,11978412.89
South Korea,Asia,2017,Nov,21.2,110.6,Yes,None,4.66,15.76,977,62.06,166.54,79.1,Yes,41915,43648695.8
South Africa,Africa,2020,Mar,16.9,96.7,Yes,None,3.75,78.79,976,74.09,574.03,94.35,Yes,16530,13355342.6
Greece,Europe,2011,Apr,20.5,125.1,No,None,3.92,63.35,963,64.01,540.84,60.57,Yes,71755,74330353.69
Italy,Europe,2013,Sep,32.0,60.6,No,Partial,1.59,27.95,1006,57.43,467.68,94.34,Yes,50890,48463740.71
Egypt,Africa,2010,Jul,9.0,51.9,Yes,None,3.29,22.66,996,65.96,485.13,65.43,No,18808,16104741.33
UAE,Middle East,2020,Oct,21.5,119.4,Yes,None,2.88,82.88,960,86.4,617.11,40.97,Yes,68184,50616561.12
Greece,Europe,2022,Jun,24.8,11.4,Yes,None,2.98,7.83,997,67.21,504.65,43.4,Yes,69109,49791426.36
China,Asia,2025,Jun,16.8,197.5,No,Partial,-0.22,82.0,1005,68.22,650.78,68.82,Yes,52234,39795166.46
Turkey,Middle East,2011,Sep,16.5,83.4,Yes,Full,3.1,65.44,994,77.89,563.39,88.16,No,85414,99915275.85
Spain,Europe,2022,May,22.1,141.6,Yes,None,1.52,117.06,960,51.47,950.69,61.4,Yes,57657,49400247.35
France,Europe,2020,Dec,15.9,10.9,No,None,2.33,49.88,973,42.15,674.54,51.22,No,17805,21392987.73
Japan,Asia,2014,Apr,25.0,72.7,Yes,None,2.61,22.97,1015,47.4,681.05,52.67,No,39581,30637009.63
Spain,Europe,2020,Jun,13.3,24.0,Yes,Partial,3.04,99.96,981,42.08,702.78,56.82,Yes,118567,94064332.6
Greece,Europe,2018,Nov,17.1,152.5,Yes,None,2.36,4.6,1019,86.85,704.57,44.47,No,31498,19518405.69
Canada,Americas,2018,Mar,10.9,153.9,No,None,3.12,51.44,970,76.16,683.21,87.59,No,36782,21222149.19
Kenya,Africa,2025,Oct,20.2,125.1,No,None,3.23,16.33,1025,59.64,726.65,43.95,Yes,91973,77795170.63
Canada,Americas,2012,Apr,24.9,61.9,Yes,None,2.58,68.12,982,66.2,681.76,44.6,Yes,39004,34323397.63
Vietnam,Asia,2023,Sep,15.0,25.0,No,None,2.32,4.5,1042,64.31,560.23,69.71,No,95484,56582177.84
Canada,Americas,2016,Aug,22.8,130.3,No,None,3.62,68.75,1030,45.75,517.59,67.54,Yes,42278,46024961.5
USA,Americas,2010,Aug,22.0,40.4,Yes,None,4.91,116.67,1004,57.54,579.95,74.66,Yes,115023,73854021.88
Morocco,Africa,2022,Feb,30.8,81.9,No,None,2.52,33.67,995,70.02,527.85,58.85,No,32635,11653493.84
Germany,Europe,2012,May,20.3,128.6,No,None,1.97,15.3,1032,88.33,807.63,94.0,Yes,84085,68176155.78
Greece,Europe,2021,Apr,16.7,106.4,Yes,None,1.86,107.48,966,46.63,676.82,83.56,Yes,7319,5811657.02
Indonesia,Asia,2019,Oct,14.3,34.7,Yes,Partial,1.71,108.76,1050,64.35,565.98,58.13,Yes,84092,73325878.89
Switzerland,Europe,2019,Dec,28.6,50.0,Yes,None,5.9,48.98,992,66.72,738.42,94.13,No,83523,88102300.38
Spain,Europe,2012,Jan,23.9,84.3,Yes,None,3.1,97.94,1039,63.38,556.13,82.5,Yes,42890,38894180.76
Brazil,Americas,2017,Nov,21.9,128.3,Yes,Full,2.96,80.17,990,40.91,614.49,56.16,Yes,70610,70158489.68
Greece,Europe,2019,Oct,20.8,35.6,Yes,Full,3.25,71.35,987,81.06,616.39,64.87,Yes,50393,46411619.51
Morocco,Africa,2021,Nov,17.3,105.9,Yes,None,2.57,116.15,978,88.58,668.74,69.91,Yes,9512,9755249.22
UK,Europe,2011,Jan,19.0,20.9,Yes,None,5.6,90.53,981,55.0,665.98,67.79,No,11797,11131622.29
New Zealand,Oceania,2014,Feb,20.1,82.0,No,Partial,1.84,47.11,1007,58.08,425.93,54.24,No,17476,15065002.07
